Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,152.03,-61.6125,180.0,bottom
C10,4.7u,C_0402_1005Metric,147.25,-52.9125,90.0,bottom
C2,100n,C_0402_1005Metric,148.35,-52.9025,90.0,bottom
C3,100n,C_0402_1005Metric,152.06,-56.5525,180.0,bottom
C4,1u,C_0402_1005Metric,151.65,-67.0125,270.0,bottom
C5,12p,C_0402_1005Metric,146.34,-73.7725,180.0,bottom
C6,12p,C_0402_1005Metric,149.25,-70.0925,270.0,bottom
C7,10n,C_0402_1005Metric,120.43,-72.7125,180.0,bottom
C8,100n,C_0402_1005Metric,141.01,-52.9025,90.0,bottom
C9,10n,C_0402_1005Metric,125.43,-72.7125,180.0,bottom
D1,Diode,Diode_SOD-123,133.15,-83.925,90.0,bottom
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,124.15,-88.48125,180.0,top
D11,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,142.15,-88.48125,180.0,top
D12,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.15,-88.48125,180.0,top
D13,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,124.15,-105.48125,180.0,top
D14,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,142.15,-105.48125,180.0,top
D15,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.15,-105.48125,180.0,top
D16,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,124.15,-122.48125,180.0,top
D17,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,142.15,-122.48125,180.0,top
D18,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.15,-122.48125,180.0,top
D2,Diode,Diode_SOD-123,151.15,-83.925,90.0,bottom
D3,Diode,Diode_SOD-123,169.15,-83.925,90.0,bottom
D4,Diode,Diode_SOD-123,133.15,-100.925,90.0,bottom
D5,Diode,Diode_SOD-123,151.15,-100.925,90.0,bottom
D6,Diode,Diode_SOD-123,169.15,-100.925,90.0,bottom
D7,Diode,Diode_SOD-123,133.15,-117.925,90.0,bottom
D8,Diode,Diode_SOD-123,151.15,-117.925,90.0,bottom
D9,Diode,Diode_SOD-123,169.15,-117.925,90.0,bottom
H1,MountingHole_Pad,MountingHole_KB,133.15,-92.2,0.0,top
H2,MountingHole_Pad,MountingHole_KB,151.15,-92.2,0.0,top
H3,MountingHole_Pad,MountingHole_KB,133.15,-109.2,0.0,top
H4,MountingHole_Pad,MountingHole_KB,151.15,-109.2,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_HRO_TYPE-C-31-M-12,163.83,-52.6025,180.0,bottom
J2,Display,SSD1306_LCD_Display_128x32,167.7475,-64.5225,0.0,top
R1,10k,R_0402_1005Metric,139.85,-51.2,180.0,bottom
R10,10k,R_0402_1005Metric,120.41,-71.6025,0.0,bottom
R11,10k,R_0402_1005Metric,136.12,-56.6125,0.0,bottom
R12,4k7,R_0402_1005Metric,164.59,-65.7925,180.0,bottom
R13,4k7,R_0402_1005Metric,164.59,-68.3325,180.0,bottom
R2,22,R_0402_1005Metric,153.66,-59.2725,180.0,bottom
R3,22,R_0402_1005Metric,153.66,-58.2125,0.0,bottom
R4,5k1,R_0402_1005Metric,159.44,-56.9825,0.0,bottom
R5,5k1,R_0402_1005Metric,168.22,-56.9825,180.0,bottom
R6,10k,R_0402_1005Metric,123.31,-71.6025,180.0,bottom
R7,10k,R_0402_1005Metric,136.14,-59.0125,0.0,bottom
R8,10k,R_0402_1005Metric,118.31,-71.6025,180.0,bottom
R9,10k,R_0402_1005Metric,125.41,-71.6025,180.0,bottom
S1,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,125.8125,-80.7125,0.0,top
S2,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,143.8125,-80.7125,0.0,top
S3,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,161.8125,-80.7125,0.0,top
S4,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,125.8125,-97.7125,0.0,top
S5,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,143.8125,-97.7125,0.0,top
S6,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,161.8125,-97.7125,0.0,top
S7,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,125.8125,-114.7125,0.0,top
S8,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,143.8125,-114.7125,0.0,top
S9,Keyswitch,Hotswap_Choc_V1_Plated_1.00u,161.8125,-114.7125,0.0,top
SW1,SW_Push,SW_Tactile_TSB008A2530A,119.65,-51.2,0.0,top
SW2,RotaryEncoder_Switch,RotaryEncoder_Bourns_PEC11R-4xxxF-Sxxxx,121.9,-62.2625,0.0,top
U1,USB6B1,USB_Port_Protector_USB6B1,159.95,-60.33,270.0,bottom
U3,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,144.35,-60.6125,270.0,bottom
Y1,16mghz,Crystal_SMD_X322516MLB4SI,146.7,-70.8125,270.0,bottom
